sales_id,date,product_name,total_revenue,sales_location,sales_medium,sales_count,product_count
AT-18056,7-Jun-20,Nescafe,$279.30,Australian Capital Territory,Online,1,1
AT-9867,14-May-19,Nescafe,$263.46,Australian Capital Territory,Direct,1,1
AT-11225,7-Jul-19,Nescafe,$258.72,Australian Capital Territory,Online,1,1
AT-3208,25-Jun-18,Nescafe,$236.88,Australian Capital Territory,Online,1,1
AT-18812,4-Jul-20,Nescafe,$235.20,Australian Capital Territory,Online,1,1
AT-20812,16-Sep-20,Nescafe,$230.91,Australian Capital Territory,Online,1,1
AT-2937,15-Jun-18,Nescafe,$227.09,Australian Capital Territory,Direct,1,1
AT-306,26-Jan-18,Nescafe,$223.65,Australian Capital Territory,Direct,1,1
AT-3855,18-Jul-18,Nescafe,$223.65,Australian Capital Territory,Direct,1,1
AT-22548,16-Nov-20,Nescafe,$212.91,Australian Capital Territory,Direct,1,1
AT-2259,17-May-18,Nescafe,$209.88,Australian Capital Territory,Direct,1,1
AT-22319,9-Nov-20,Nescafe,$209.48,Australian Capital Territory,Online,1,1
AT-15018,21-Nov-19,Nescafe,$200.98,Australian Capital Territory,Direct,1,1
AT-14251,26-Oct-19,Nescafe,$200.66,Australian Capital Territory,Online,1,1
AT-13493,29-Sep-19,Nescafe,$188.16,Australian Capital Territory,Online,1,1
AT-8196,10-Feb-19,Nescafe,$182.96,Australian Capital Territory,Direct,1,1
AT-11475,16-Jul-19,Nescafe,$177.42,Australian Capital Territory,Direct,1,1
AT-10768,21-Jun-19,Nescafe,$175.18,Australian Capital Territory,Online,1,1
AT-10719,19-Jun-19,Nescafe,$173.26,Australian Capital Territory,Direct,1,1
AT-4935,27-Aug-18,Nescafe,$172.04,Australian Capital Territory,Direct,1,1
AT-20541,6-Sep-20,Nescafe,$167.12,Australian Capital Territory,Direct,1,1
AT-8255,14-Feb-19,Nescafe,$165.62,Australian Capital Territory,Online,1,1
AT-22620,19-Nov-20,Nescafe,$162.21,Australian Capital Territory,Direct,1,1
AT-8040,31-Jan-19,Nescafe,"$3,049.39",Australian Capital Territory,Direct,1,1
AT-16008,19-Feb-20,Nescafe,"$2,910.78",Australian Capital Territory,Direct,1,1
AT-16706,1-Apr-20,Nescafe,"$2,866.50",Australian Capital Territory,Online,1,1
AT-11959,3-Aug-19,Nescafe,"$2,744.00",Australian Capital Territory,Online,1,1
AT-13836,10-Oct-19,Nescafe,"$2,632.28",Australian Capital Territory,Direct,1,1
AT-16134,27-Feb-20,Nescafe,"$2,572.50",Australian Capital Territory,Online,1,1
AT-4116,27-Jul-18,Nescafe,$12.81,Australian Capital Territory,Direct,1,1
AT-7135,14-Nov-18,Nescafe,$12.81,Australian Capital Territory,Online,1,1
AT-16768,4-Apr-20,Nescafe,$12.74,Australian Capital Territory,Direct,1,1
AT-14200,24-Oct-19,Nescafe,$12.74,Australian Capital Territory,Online,1,1
AT-15016,21-Nov-19,Nescafe,$12.47,Australian Capital Territory,Online,1,1
AT-11739,26-Jul-19,Nescafe,$12.10,Australian Capital Territory,Direct,1,1
AT-12524,24-Aug-19,Nescafe,$12.10,Australian Capital Territory,Direct,1,1
AT-9454,23-Apr-19,Nescafe,$11.94,Australian Capital Territory,Online,1,1
AT-15253,29-Nov-19,Nescafe,$12.90,Australian Capital Territory,Online,1,1
AT-18005,5-Jun-20,Nescafe,$12.74,Australian Capital Territory,Direct,1,1
AT-8062,2-Feb-19,Nescafe,$12.13,Australian Capital Territory,Direct,1,1
AT-11041,1-Jul-19,Nescafe,$12.10,Australian Capital Territory,Online,1,1
AT-4872,24-Aug-18,Nescafe,$11.80,Australian Capital Territory,Direct,1,1
AT-22262,7-Nov-20,Nescafe,"$2,082.19",Australian Capital Territory,Direct,1,1
AT-19732,7-Aug-20,Nescafe,"$2,070.25",Australian Capital Territory,Online,1,1
AT-9095,4-Apr-19,Nescafe,"$2,038.40",Australian Capital Territory,Online,1,1
AT-18630,28-Jun-20,Nescafe,"$1,940.52",Australian Capital Territory,Direct,1,1
AT-16653,29-Mar-20,Nescafe,"$1,837.50",Australian Capital Territory,Online,1,1
AT-3915,20-Jul-18,Nescafe,"$1,801.91",Australian Capital Territory,Direct,1,1
AT-21486,10-Oct-20,Nescafe,"$1,769.51",Australian Capital Territory,Direct,1,1
AT-7711,4-Jan-19,Nescafe,"$1,751.75",Australian Capital Territory,Online,1,1
AT-4664,17-Aug-18,Nescafe,"$1,749.30",Australian Capital Territory,Online,1,1
AT-5582,20-Sep-18,Nescafe,"$1,749.30",Australian Capital Territory,Online,1,1
AT-880,3-Mar-18,Nescafe,"$1,740.73",Australian Capital Territory,Online,1,1
AT-21546,12-Oct-20,Nescafe,"$1,663.31",Australian Capital Territory,Direct,1,1
AT-4874,24-Aug-18,Maggi,$811.87,Australian Capital Territory,Online,1,1
AT-5792,27-Sep-18,Maggi,$369.03,Australian Capital Territory,Online,1,1
AT-10355,5-Jun-19,Maggi,"$1,845.16",Australian Capital Territory,Online,1,1
AT-11462,15-Jul-19,Maggi,"$2,361.80",Australian Capital Territory,Online,1,1
AT-14612,7-Nov-19,Maggi,$516.64,Australian Capital Territory,Online,1,1
AT-18266,14-Jun-20,Maggi,$442.84,Australian Capital Territory,Online,1,1
AT-19022,11-Jul-20,Maggi,$147.61,Australian Capital Territory,Online,1,1
AT-22550,16-Nov-20,Maggi,$295.23,Australian Capital Territory,Online,1,1
AT-547,11-Feb-18,Maggi,$696.72,Australian Capital Territory,Direct,1,1
AT-2448,26-May-18,Maggi,$497.66,Australian Capital Territory,Direct,1,1
AT-2622,3-Jun-18,Maggi,$922.80,Australian Capital Territory,Direct,1,1
AT-6078,7-Oct-18,Maggi,$497.66,Australian Capital Territory,Direct,1,1
AT-7023,10-Nov-18,Maggi,$497.66,Australian Capital Territory,Direct,1,1
AT-8167,8-Feb-19,Maggi,"$3,185.00",Australian Capital Territory,Direct,1,1
AT-10668,17-Jun-19,Maggi,"$2,488.28",Australian Capital Territory,Direct,1,1
AT-11748,26-Jul-19,Maggi,"$2,488.28",Australian Capital Territory,Direct,1,1
AT-14961,19-Nov-19,Maggi,"$2,886.41",Australian Capital Territory,Direct,1,1
AT-16075,23-Feb-20,Maggi,"$1,891.09",Australian Capital Territory,Direct,1,1
AT-16289,7-Mar-20,Maggi,$298.59,Australian Capital Territory,Direct,1,1
AT-16790,5-Apr-20,Maggi,$298.59,Australian Capital Territory,Direct,1,1
AT-18579,26-Jun-20,Maggi,$398.13,Australian Capital Territory,Direct,1,1
AT-19335,23-Jul-20,Maggi,$597.19,Australian Capital Territory,Direct,1,1
AT-22899,28-Nov-20,Maggi,"$2,189.69",Australian Capital Territory,Direct,1,1
AT-829,28-Feb-18,Kit Kat,"$1,826.56",Australian Capital Territory,Online,1,1
AT-1585,12-Apr-18,Kit Kat,"$1,074.45",Australian Capital Territory,Online,1,1
AT-2446,26-May-18,Kit Kat,$191.87,Australian Capital Territory,Online,1,1
AT-5320,10-Sep-18,Kit Kat,$422.10,Australian Capital Territory,Online,1,1
AT-6076,7-Oct-18,Kit Kat,$295.47,Australian Capital Territory,Online,1,1
AT-8670,10-Mar-19,Kit Kat,$184.19,Australian Capital Territory,Online,1,1
AT-13231,19-Sep-19,Kit Kat,"$1,227.94",Australian Capital Territory,Online,1,1
AT-14149,22-Oct-19,Kit Kat,$736.76,Australian Capital Territory,Online,1,1
AT-15319,1-Dec-19,Kit Kat,"$1,644.56",Australian Capital Territory,Online,1,1
AT-16287,7-Mar-20,Kit Kat,$115.12,Australian Capital Territory,Online,1,1
AT-19792,9-Aug-20,Kit Kat,$767.46,Australian Capital Territory,Online,1,1
AT-22060,31-Oct-20,Kit Kat,$345.36,Australian Capital Territory,Online,1,1
AT-22897,28-Nov-20,Kit Kat,"$1,151.19",Australian Capital Territory,Online,1,1
AT-325,28-Jan-18,Kit Kat,$483.50,Australian Capital Territory,Online,1,1
AT-871,3-Mar-18,Kit Kat,"$1,749.30",Australian Capital Territory,Online,1,1
AT-3148,23-Jun-18,Kit Kat,$816.77,Australian Capital Territory,Online,1,1
AT-5119,3-Sep-18,Kit Kat,$326.71,Australian Capital Territory,Online,1,1
AT-7429,24-Nov-18,Kit Kat,"$1,810.35",Australian Capital Territory,Online,1,1
AT-8692,12-Mar-19,Kit Kat,"$1,940.40",Australian Capital Territory,Online,1,1
AT-11032,1-Jul-19,Kit Kat,"$1,944.69",Australian Capital Territory,Online,1,1
AT-11788,28-Jul-19,Kit Kat,$373.38,Australian Capital Territory,Online,1,1
AT-11950,3-Aug-19,Kit Kat,"$2,489.20",Australian Capital Territory,Online,1,1
AT-15349,2-Jan-20,Kit Kat,$191.87,Australian Capital Territory,Online,1,1
AT-15837,9-Feb-20,Kit Kat,"$1,470.00",Australian Capital Territory,Direct,1,1
AT-16776,5-Apr-20,Kit Kat,$298.96,Australian Capital Territory,Direct,1,1
AT-17290,2-May-20,Kit Kat,$845.25,Australian Capital Territory,Online,1,1
AT-19834,11-Aug-20,Kit Kat,"$1,244.60",Australian Capital Territory,Online,1,1
AT-20752,14-Sep-20,Kit Kat,"$2,566.99",Australian Capital Territory,Online,1,1
AT-21859,24-Oct-20,Kit Kat,"$3,189.29",Australian Capital Territory,Online,1,1
AT-2431,17-Feb-18,Nescafe Gold,$367.50,Australian Capital Territory,Online,1,1
AT-2895,13-Jun-18,Nescafe Gold,$694.58,Australian Capital Territory,Online,1,1
AT-5892,1-Oct-18,Nescafe Gold,$404.25,Australian Capital Territory,Online,1,1
AT-6027,5-Oct-18,Nescafe Gold,$823.20,Australian Capital Territory,Online,1,1
AT-6786,2-Nov-18,Nescafe Gold,$360.15,Australian Capital Territory,Online,1,1
AT-9087,3-Apr-19,Nescafe Gold,"$2,352.00",Australian Capital Territory,Online,1,1
AT-10455,9-Jun-19,Nescafe Gold,$529.20,Australian Capital Territory,Online,1,1
AT-13938,14-Oct-19,Nescafe Gold,$764.40,Australian Capital Territory,Online,1,1
AT-14904,17-Nov-19,Nescafe Gold,"$1,176.00",Australian Capital Territory,Online,1,1
AT-18528,24-Jun-20,Nescafe Gold,$808.50,Australian Capital Territory,Online,1,1
AT-20499,4-Sep-20,Nescafe Gold,$367.50,Australian Capital Territory,Online,1,1
AT-22842,26-Nov-20,Nescafe Gold,$882.00,Australian Capital Territory,Online,1,1
AT-2573,1-Jun-18,Nescafe Gold,$498.27,Australian Capital Territory,Direct,1,1
AT-5894,1-Oct-18,Nescafe Gold,"$1,096.19",Australian Capital Territory,Direct,1,1
AT-6788,2-Nov-18,Nescafe Gold,$498.27,Australian Capital Territory,Direct,1,1
AT-10457,9-Jun-19,Nescafe Gold,"$2,491.34",Australian Capital Territory,Direct,1,1
AT-11375,12-Jul-19,Nescafe Gold,"$2,491.34",Australian Capital Territory,Direct,1,1
AT-12482,22-Aug-19,Nescafe Gold,$797.23,Australian Capital Territory,Direct,1,1
AT-19286,21-Jul-20,Nescafe Gold,$199.31,Australian Capital Territory,Direct,1,1
AT-20042,18-Aug-20,Nescafe Gold,$199.31,Australian Capital Territory,Direct,1,1
AT-1173,20-Mar-18,Nes Cau,$782.47,Australian Capital Territory,Direct,1,1
AT-1795,23-Apr-18,Nes Cau,"$1,036.37",Australian Capital Territory,Direct,1,1
AT-3593,8-Jul-18,Nes Cau,"$3,051.63",Australian Capital Territory,Direct,1,1
AT-4349,5-Aug-18,Nes Cau,"$1,721.43",Australian Capital Territory,Direct,1,1
AT-8994,29-Mar-19,Nes Cau,"$3,577.00",Australian Capital Territory,Direct,1,1
AT-9406,20-Apr-19,Nes Cau,$804.83,Australian Capital Territory,Direct,1,1
AT-9795,10-May-19,Nes Cau,"$2,682.75",Australian Capital Territory,Direct,1,1
AT-11477,16-Jul-19,Nes Cau,$447.13,Australian Capital Territory,Direct,1,1
AT-12422,20-Aug-19,Nes Cau,$536.55,Australian Capital Territory,Direct,1,1
AT-13502,29-Sep-19,Milo,"$3,577.00",Australian Capital Territory,Direct,1,1
AT-17643,19-May-20,Milo,"$2,459.19",Australian Capital Territory,Direct,1,1
AT-18065,7-Jun-20,Milo,"$3,353.44",Australian Capital Territory,Direct,1,1
AT-20306,28-Aug-20,Milo,$670.69,Australian Capital Territory,Direct,1,1
AT-21062,25-Sep-20,Milo,"$1,341.38",Australian Capital Territory,Direct,1,1
AT-646,18-Feb-18,Milo,"$7,188.85",Australian Capital Territory,Direct,1,1
AT-1593,13-Apr-18,Milo,"$7,188.85",Australian Capital Territory,Direct,1,1
AT-3392,1-Jul-18,Milo,"$3,195.05",Australian Capital Territory,Direct,1,1
AT-5633,22-Sep-18,Milo,"$2,091.99",Australian Capital Territory,Direct,1,1
AT-6389,19-Oct-18,Milo,"$9,984.52",Australian Capital Territory,Direct,1,1
AT-7802,12-Jan-19,Milo,"$3,195.05",Australian Capital Territory,Direct,1,1
AT-8863,22-Mar-19,Milo,"$6,085.80",Australian Capital Territory,Direct,1,1
AT-13544,1-Oct-19,Milo,"$6,085.80",Australian Capital Territory,Direct,1,1
AT-14438,2-Nov-19,Milo,"$3,499.34",Australian Capital Territory,Direct,1,1
AT-15578,21-Jan-20,Milo,"$8,748.34",Australian Capital Territory,Direct,1,1
AT-16480,19-Mar-20,Milo,"$2,282.18",Australian Capital Territory,Direct,1,1
AT-17491,12-May-20,Milo,"$15,785.04",Australian Capital Territory,Direct,1,1
AT-18107,9-Jun-20,Milo,"$8,177.79",Australian Capital Territory,Direct,1,1
AT-19025,12-Jul-20,Milo,"$7,607.25",Australian Capital Territory,Direct,1,1
AT-20105,21-Aug-20,Milo,"$1,521.45",Australian Capital Territory,Direct,1,1
AT-376,1-Feb-18,Nestle Drumstick,$697.58,Australian Capital Territory,Direct,1,1
AT-840,1-Mar-18,Nestle Drumstick,$418.55,Australian Capital Territory,Direct,1,1
AT-2935,15-Jun-18,Nestle Drumstick,$498.27,Australian Capital Territory,Direct,1,1
AT-6391,19-Oct-18,Nestle Drumstick,$498.27,Australian Capital Territory,Direct,1,1
AT-7372,22-Nov-18,Nestle Drumstick,$418.55,Australian Capital Territory,Direct,1,1
AT-8661,10-Mar-19,Nestle Drumstick,$478.34,Australian Capital Territory,Direct,1,1
AT-10981,29-Jun-19,Nestle Drumstick,"$2,491.34",Australian Capital Territory,Direct,1,1
AT-11899,1-Aug-19,Nestle Drumstick,"$3,188.92",Australian Capital Territory,Direct,1,1
AT-12979,10-Sep-19,Nestle Drumstick,"$3,188.92",Australian Capital Territory,Direct,1,1
AT-15310,1-Dec-19,Nestle Drumstick,"$14,236.25",Australian Capital Territory,Direct,1,1
AT-15904,13-Feb-20,Nestle Drumstick,$199.31,Australian Capital Territory,Direct,1,1
AT-16482,19-Mar-20,Nestle Drumstick,"$3,587.54",Australian Capital Territory,Direct,1,1
AT-16798,6-Apr-20,Nestle Drumstick,"$3,587.54",Australian Capital Territory,Direct,1,1
AT-19783,9-Aug-20,Nestle Drumstick,$199.31,Australian Capital Territory,Direct,1,1
AT-20539,6-Sep-20,Nestle Drumstick,"$1,096.19",Australian Capital Territory,Direct,1,1
AT-327,28-Jan-18,Nestle Drumstick,$878.94,Australian Capital Territory,Direct,1,1
AT-1803,24-Apr-18,Nestle Drumstick,$878.94,Australian Capital Territory,Direct,1,1
AT-2056,7-May-18,Nestle Drumstick,$527.36,Australian Capital Territory,Direct,1,1
AT-3906,20-Jul-18,Nestle Drumstick,"$1,632.31",Australian Capital Territory,Direct,1,1
AT-4662,17-Aug-18,Nestle Drumstick,"$1,632.31",Australian Capital Territory,Direct,1,1
AT-8459,27-Feb-19,Nestle Drumstick,$602.70,Australian Capital Territory,Direct,1,1
AT-9414,21-Apr-19,Nestle Drumstick,"$4,018.00",Australian Capital Territory,Direct,1,1
AT-10024,22-May-19,Nestle Drumstick,$602.70,Australian Capital Territory,Direct,1,1
AT-11790,28-Jul-19,Nestle Drumstick,$401.80,Australian Capital Territory,Direct,1,1
AT-13626,3-Oct-19,Nestle Drumstick,"$2,611.70",Australian Capital Territory,Direct,1,1
AT-14739,12-Nov-19,Nestle Drumstick,"$3,641.31",Australian Capital Territory,Direct,1,1
AT-17872,31-May-20,Nestle Drumstick,"$2,385.69",Australian Capital Territory,Direct,1,1
AT-18378,19-Jun-20,Nestle Drumstick,$502.25,Australian Capital Territory,Direct,1,1
AT-21537,12-Oct-20,Nestle Drumstick,"$1,506.75",Australian Capital Territory,Direct,1,1
AT-22317,9-Nov-20,Nestle Drumstick,"$2,762.38",Australian Capital Territory,Direct,1,1
AT-780,26-Feb-18,Smarties,"$1,121.18",Australian Capital Territory,Direct,1,1
AT-1235,24-Mar-18,Smarties,"$4,484.73",Australian Capital Territory,Direct,1,1
AT-1637,15-Apr-18,Nes Cau,"$2,242.36",Australian Capital Territory,Direct,1,1
AT-2021,5-May-18,Nes Cau,$672.71,Australian Capital Territory,Direct,1,1
AT-3602,8-Jul-18,Smarties,$848.01,Australian Capital Territory,Online,1,1
AT-4613,15-Aug-18,Smarties,"$1,761.86",Australian Capital Territory,Direct,1,1
AT-5369,12-Sep-18,Nes Cau,"$2,690.84",Australian Capital Territory,Direct,1,1
AT-5843,29-Sep-18,Nes Cau,$717.54,Australian Capital Territory,Online,1,1
AT-6599,26-Oct-18,Smarties,$326.16,Australian Capital Territory,Online,1,1
AT-7832,14-Jan-19,Nes Cau,"$3,523.71",Australian Capital Territory,Direct,1,1
AT-9476,24-Apr-19,Smarties,"$5,125.40",Australian Capital Territory,Direct,1,1
AT-9869,14-May-19,Nes Cau,"$7,944.37",Australian Capital Territory,Direct,1,1
AT-10406,7-Jun-19,Nes Cau,"$1,630.78",Australian Capital Territory,Online,1,1
AT-2058,7-May-18,Nescafe,"$1,646.40",Australian Capital Territory,Online,1,1
AT-11162,4-Jul-19,Nescafe,"$1,630.78",Australian Capital Territory,Online,1,1
AT-7709,4-Jan-19,Nescafe,"$1,617.00",Australian Capital Territory,Online,1,1
AT-13442,27-Sep-19,Smarties,"$1,922.03",Australian Capital Territory,Direct,1,1
AT-15464,11-Jan-20,Smarties,$800.84,Australian Capital Territory,Direct,1,1
AT-18317,16-Jun-20,Smarties,$391.39,Australian Capital Territory,Online,1,1
AT-1615,14-Apr-18,Nescafe,"$1,440.60",Australian Capital Territory,Online,1,1
AT-5371,12-Sep-18,Nescafe,"$1,440.60",Australian Capital Territory,Online,1,1
AT-7690,2-Jan-19,Nescafe,"$1,372.00",Australian Capital Territory,Online,1,1
AT-16420,15-Mar-20,Nescafe,"$1,372.00",Australian Capital Territory,Online,1,1
AT-14970,19-Nov-19,Nescafe,"$1,354.85",Australian Capital Territory,Direct,1,1
AT-192,16-Jan-18,Nescafe,"$1,285.10",Australian Capital Territory,Direct,1,1
AT-2835,11-Jun-18,Nescafe,"$1,261.34",Australian Capital Territory,Direct,1,1
AT-285,24-Jan-18,Nesquik Duo,"$1,162.77",Australian Capital Territory,Direct,1,1
AT-2886,13-Jun-18,Nesquik Duo,"$4,360.39",Australian Capital Territory,Direct,1,1
AT-3642,10-Jul-18,Nesquik Duo,"$4,651.08",Australian Capital Territory,Direct,1,1
AT-7137,14-Nov-18,Nesquik Duo,"$1,550.36",Australian Capital Territory,Direct,1,1
AT-8129,6-Feb-19,Nesquik Duo,"$5,758.48",Australian Capital Territory,Direct,1,1
AT-9023,31-Mar-19,Nesquik Duo,"$4,318.86",Australian Capital Territory,Direct,1,1
AT-10070,24-May-19,Nesquik Duo,"$3,460.63",Australian Capital Territory,Direct,1,1
AT-10770,21-Jun-19,Nesquik Duo,"$5,204.78",Australian Capital Territory,Direct,1,1
AT-11688,24-Jul-19,Nesquik Duo,"$7,530.32",Australian Capital Territory,Direct,1,1
AT-13686,5-Oct-19,Nesquik Duo,"$8,637.72",Australian Capital Territory,Direct,1,1
AT-15941,15-Feb-20,Nesquik Duo,$830.55,Australian Capital Territory,Direct,1,1
AT-16746,3-Apr-20,Nesquik Duo,$415.28,Australian Capital Territory,Direct,1,1
AT-17678,21-May-20,Nesquik Duo,"$5,260.15",Australian Capital Territory,Direct,1,1
AT-20355,30-Aug-20,Nesquik Duo,"$4,706.45",Australian Capital Territory,Direct,1,1
AT-20490,4-Sep-20,Nesquik Duo,"$2,491.65",Australian Capital Territory,Direct,1,1
AT-21273,2-Oct-20,Nesquik Duo,"$2,214.80",Australian Capital Territory,Direct,1,1
AT-19085,14-Jul-20,Nescafe,"$1,233.30",Australian Capital Territory,Direct,1,1
AT-17835,29-May-20,Nescafe,"$1,179.68",Australian Capital Territory,Direct,1,1
AT-21064,25-Sep-20,Nescafe,"$1,176.00",Australian Capital Territory,Direct,1,1
AT-18588,26-Jun-20,Nescafe,"$1,161.30",Australian Capital Territory,Direct,1,1
AT-15557,19-Jan-20,Nescafe,"$1,102.50",Australian Capital Territory,Online,1,1
AT-7080,12-Nov-18,Nescafe,"$1,067.29",Australian Capital Territory,Direct,1,1
AT-4167,29-Jul-18,Nescafe,$995.31,Australian Capital Territory,Online,1,1
AT-1607,13-Apr-18,Maggi,"$5,625.20",Australian Capital Territory,Direct,1,1
AT-4351,5-Aug-18,Milo,"$1,078.00",Australian Capital Territory,Direct,1,1
AT-5269,8-Sep-18,Milo,"$1,078.00",Australian Capital Territory,Direct,1,1
AT-6349,17-Oct-18,Milo,$490.00,Australian Capital Territory,Direct,1,1
AT-9446,22-Apr-19,Nes Cau,$548.80,Australian Capital Territory,Direct,1,1
AT-13180,17-Sep-19,Nes Cau,"$3,136.00",Australian Capital Territory,Direct,1,1
AT-13936,14-Oct-19,Nes Cau,"$2,842.00",Australian Capital Territory,Direct,1,1
AT-16460,17-Mar-20,Nes Cau,$294.00,Australian Capital Territory,Direct,1,1
AT-22009,29-Oct-20,Smarties,"$1,176.00",Australian Capital Territory,Direct,1,1
AT-12522,24-Aug-19,Nescafe,$943.74,Australian Capital Territory,Direct,1,1
